"Abundance","Biomass","Family","Genus","Species","SampleDescription","Plot","Latitude","Longitude","DepthElevation","Day","Month","Year","StudyID"
3,"","Linyphiidae","Tenuiphantes","tenuis","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1988","",50.931,5.626,"","","","1988",""
4,"","Linyphiidae","Walckenaeria","acuminata","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1988","",50.931,5.626,"","","","1988",""
12,"","Linyphiidae","Walckenaeria","atrotibialis","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1988","",50.931,5.626,"","","","1988",""
8,"","Linyphiidae","Walckenaeria","cuspidata","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1988","",50.931,5.626,"","","","1988",""
1,"","Linyphiidae","Walckenaeria","nodosa","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1988","",50.931,5.626,"","","","1988",""
3,"","Linyphiidae","Walckenaeria","nudipalpis","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1988","",50.931,5.626,"","","","1988",""
4,"","Liocranidae","Agroeca","brunnea","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1988","",50.931,5.626,"","","","1988",""
3,"","Lycosidae","Alopecosa","pulverulenta","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1988","",50.931,5.626,"","","","1988",""
10,"","Lycosidae","Hygrolycosa","rubrofasciata","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1988","",50.931,5.626,"","","","1988",""
7,"","Lycosidae","Pardosa","prativaga","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1988","",50.931,5.626,"","","","1988",""
3,"","Lycosidae","Pardosa","pullata","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1988","",50.931,5.626,"","","","1988",""
130,"","Lycosidae","Pirata","hygrophilus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1988","",50.931,5.626,"","","","1988",""
16,"","Lycosidae","Pirata","latitans","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1988","",50.931,5.626,"","","","1988",""
2,"","Lycosidae","Pirata","piraticus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1988","",50.931,5.626,"","","","1988",""
4,"","Lycosidae","Pirata","piscatorius","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1988","",50.931,5.626,"","","","1988",""
1,"","Lycosidae","Trochosa","robusta","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1988","",50.931,5.626,"","","","1988",""
23,"","Lycosidae","Trochosa","spinipalpis","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1988","",50.931,5.626,"","","","1988",""
5,"","Lycosidae","Trochosa","terricola","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1988","",50.931,5.626,"","","","1988",""
1,"","Nemastomatidae","Nemastoma","lugubre","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1988","",50.931,5.626,"","","","1988",""
2,"","Opilionidae","Lophopilio","palpinalis","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1988","",50.931,5.626,"","","","1988",""
1,"","Salticidae","Euophrys","frontalis","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1988","",50.931,5.626,"","","","1988",""
1,"","Salticidae","Neon","reticulatus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1988","",50.931,5.626,"","","","1988",""
2,"","Tetragnathidae","Pachygnatha","clercki","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1988","",50.931,5.626,"","","","1988",""
2,"","Theridiidae","Euryopsis","flavomaculata","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1988","",50.931,5.626,"","","","1988",""
12,"","Theridiidae","Robertus","lividus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1988","",50.931,5.626,"","","","1988",""
6,"","Theridiidae","Thenoë","minutissima","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1988","",50.931,5.626,"","","","1988",""
6,"","Zoridae","Zora","spinimana","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1988","",50.931,5.626,"","","","1988",""
11,"","Agelenidae","Malthonica","picta","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
1,"","Atypidae","Atypus","affinis","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
1,"","Clubionidae","Clubiona","terrestris","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
1,"","Dictynidae","Cicurina","cicur","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
3,"","Gnaphosidae","Haplodrassus","dalmatensis","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
2,"","Gnaphosidae","Haplodrassus","signifer","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
5,"","Gnaphosidae","Haplodrassus","umbratilis","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
3,"","Gnaphosidae","Micaria","pulicaria","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
1,"","Gnaphosidae","Phaeocedus","braccatus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
6,"","Gnaphosidae","Zelotes","latreillei","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
10,"","Gnaphosidae","Zelotes","petrensis","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
13,"","Gnaphosidae","Zelotes","subterraneus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
12,"","Hahniidae","Hahnia","helveola","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
17,"","Hahniidae","Hahnia","montana","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
5,"","Hahniidae","Hahnia","nava","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
2,"","Linyphiidae","Agyneta","rurestris","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
3,"","Linyphiidae","Agyneta","saxatilis","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
13,"","Linyphiidae","Agyneta","subtilis","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
1,"","Linyphiidae","Aphileta","misera","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
1,"","Linyphiidae","Bathyphantes","approximatus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
7,"","Linyphiidae","Bathyphantes","gracilis","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
1,"","Linyphiidae","Bathyphantes","nigrinus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
12,"","Linyphiidae","Bathyphantes","parvulus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
10,"","Linyphiidae","Centromerus","dilutus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
1,"","Linyphiidae","Centromerus","pabulator","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
3,"","Linyphiidae","Centromerus","prudens","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
45,"","Linyphiidae","Centromerus","sylvaticus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
1,"","Linyphiidae","Dicymbium","nigrum","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
7,"","Linyphiidae","Diplocephalus","picinus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
1,"","Linyphiidae","Erigone","atra","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
1,"","Linyphiidae","Gonatium","rubens","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
24,"","Linyphiidae","Gongylidiellum","latebricola","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
6,"","Linyphiidae","Gongylidiellum","vivum","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
2,"","Linyphiidae","Linyphia","triangularis","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
7,"","Linyphiidae","Lophomma","punctatum","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
7,"","Linyphiidae","Macrargus","rufus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
119,"","Linyphiidae","Micrargus","herbigradus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
4,"","Linyphiidae","Microneta","viaria","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
1,"","Linyphiidae","Neriene","clathrata","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
6,"","Linyphiidae","Oedothorax","gibbosus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
18,"","Linyphiidae","Palliduphantes","ericaeus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
29,"","Linyphiidae","Palliduphantes","pallidus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
13,"","Linyphiidae","Pocadicnemis","pumila","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
17,"","Linyphiidae","Saaristoa","abnormis","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
1,"","Linyphiidae","Saaristoa","firma","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
31,"","Linyphiidae","Tallusia","experta","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
3,"","Linyphiidae","Taranucnus","setosus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
2,"","Linyphiidae","Tenuiphantes","cristatus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
5,"","Linyphiidae","Tenuiphantes","flavipes","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
5,"","Linyphiidae","Tenuiphantes","mengei","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
7,"","Linyphiidae","Tenuiphantes","tenebricola","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
11,"","Linyphiidae","Tenuiphantes","tenuis","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
10,"","Linyphiidae","Tenuiphantes","zimmermanni","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
13,"","Linyphiidae","Walckenaeria","acuminata","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
9,"","Linyphiidae","Walckenaeria","atrotibialis","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
6,"","Linyphiidae","Walckenaeria","cucullata","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
5,"","Linyphiidae","Walckenaeria","cuspidata","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
1,"","Linyphiidae","Walckenaeria","dysderoides","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
1,"","Linyphiidae","Walckenaeria","nodosa","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
31,"","Linyphiidae","Walckenaeria","nudipalpis","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
26,"","Liocranidae","Agroeca","brunnea","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
1,"","Liocranidae","Agroeca","dentigera","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
1,"","Liocranidae","Phrurolithus","festivus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
22,"","Lycosidae","Alopecosa","cuneata","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
9,"","Lycosidae","Hygrolycosa","rubrofasciata","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
20,"","Lycosidae","Pardosa","lugubris","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
3,"","Lycosidae","Pardosa","nigriceps","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
7,"","Lycosidae","Pardosa","prativaga","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
39,"","Lycosidae","Pardosa","pullata","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
111,"","Lycosidae","Pirata","hygrophilus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
10,"","Lycosidae","Pirata","latitans","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
1,"","Lycosidae","Pirata","piraticus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
10,"","Lycosidae","Trochosa","ruricola","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
14,"","Lycosidae","Trochosa","spinipalpis","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
101,"","Lycosidae","Trochosa","terricola","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
1,"","Mimetidae","Ero","furcata","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
1,"","Pisauridae","Dolomedes","fimbriatus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
13,"","Salticidae","Euophrys","frontalis","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
4,"","Salticidae","Neon","reticulatus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
1,"","Salticidae","Salticus","cingulatus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
2,"","Tetragnathidae","Pachygnatha","clercki","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
1,"","Tetragnathidae","Pachygnatha","degeeri","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
1,"","Tetragnathidae","Tetragnatha","obtusa","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
12,"","Theridiidae","Euryopsis","flavomaculata","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
1,"","Theridiidae","Laseola","tristis","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
2,"","Theridiidae","Pholcomma","gibbum","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
28,"","Theridiidae","Robertus","lividus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
9,"","Zoridae","Zora","spinimana","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1989","",50.931,5.626,"","","","1989",""
14,"","Agelenidae","Malthonica","picta","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1990","",50.931,5.626,"","","","1990",""
5,"","Clubionidae","Clubiona","comta","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1990","",50.931,5.626,"","","","1990",""
2,"","Clubionidae","Clubiona","frutetorum","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1990","",50.931,5.626,"","","","1990",""
1,"","Gnaphosidae","Drassodes","cupreus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1990","",50.931,5.626,"","","","1990",""
2,"","Gnaphosidae","Drassyllus","pusillus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1990","",50.931,5.626,"","","","1990",""
1,"","Gnaphosidae","Haplodrassus","silvestris","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1990","",50.931,5.626,"","","","1990",""
3,"","Gnaphosidae","Micaria","pulicaria","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1990","",50.931,5.626,"","","","1990",""
14,"","Gnaphosidae","Zelotes","latreillei","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1990","",50.931,5.626,"","","","1990",""
8,"","Gnaphosidae","Zelotes","petrensis","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1990","",50.931,5.626,"","","","1990",""
3,"","Gnaphosidae","Zelotes","subterraneus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1990","",50.931,5.626,"","","","1990",""
58,"","Hahniidae","Hahnia","montana","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1990","",50.931,5.626,"","","","1990",""
31,"","Hahniidae","Hahnia","nava","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1990","",50.931,5.626,"","","","1990",""
1,"","Linyphiidae","Agyneta","saxatilis","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1990","",50.931,5.626,"","","","1990",""
6,"","Linyphiidae","Agyneta","subtilis","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1990","",50.931,5.626,"","","","1990",""
1,"","Linyphiidae","Bathyphantes","approximatus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1990","",50.931,5.626,"","","","1990",""
2,"","Linyphiidae","Bathyphantes","gracilis","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1990","",50.931,5.626,"","","","1990",""
2,"","Linyphiidae","Bathyphantes","parvulus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1990","",50.931,5.626,"","","","1990",""
3,"","Linyphiidae","Centromerita","concinna","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1990","",50.931,5.626,"","","","1990",""
18,"","Linyphiidae","Centromerus","dilutus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1990","",50.931,5.626,"","","","1990",""
1,"","Linyphiidae","Centromerus","pabulator","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1990","",50.931,5.626,"","","","1990",""
8,"","Linyphiidae","Centromerus","prudens","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1990","",50.931,5.626,"","","","1990",""
26,"","Linyphiidae","Centromerus","sylvaticus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1990","",50.931,5.626,"","","","1990",""
7,"","Linyphiidae","Dicymbium","nigrum","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1990","",50.931,5.626,"","","","1990",""
5,"","Linyphiidae","Diplocephalus","picinus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1990","",50.931,5.626,"","","","1990",""
1,"","Linyphiidae","Erigone","atra","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1990","",50.931,5.626,"","","","1990",""
1,"","Linyphiidae","Gonatium","rubens","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1990","",50.931,5.626,"","","","1990",""
3,"","Linyphiidae","Macrargus","rufus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1990","",50.931,5.626,"","","","1990",""
94,"","Linyphiidae","Micrargus","herbigradus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1990","",50.931,5.626,"","","","1990",""
9,"","Linyphiidae","Microneta","viaria","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1990","",50.931,5.626,"","","","1990",""
1,"","Linyphiidae","Minyriolus","pusillus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1990","",50.931,5.626,"","","","1990",""
24,"","Linyphiidae","Palliduphantes","ericaeus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1990","",50.931,5.626,"","","","1990",""
